id,file_id,yl,y,user_id,algorithm,created_at,updated_at,mode
1,137,1,1,4,jedi,2018-01-23 03:54:19.145678,2018-01-23 03:54:19.145722,teaching
2,916,1,2,4,jedi,2018-01-23 03:54:25.374621,2018-01-23 03:54:25.374664,teaching
3,813,1,2,4,jedi,2018-01-23 03:54:36.135100,2018-01-23 03:54:36.135142,teaching
4,79,-1,1,4,jedi,2018-01-23 03:54:39.424370,2018-01-23 03:54:39.424411,teaching
5,55,1,1,4,jedi,2018-01-23 03:54:44.608226,2018-01-23 03:54:44.608268,teaching
6,747,-1,2,4,jedi,2018-01-23 03:54:47.935436,2018-01-23 03:54:47.935476,teaching
7,49,1,1,4,jedi,2018-01-23 03:54:52.072029,2018-01-23 03:54:52.072071,teaching
8,905,-1,2,4,jedi,2018-01-23 03:54:55.201667,2018-01-23 03:54:55.201709,teaching
9,124,-1,1,4,jedi,2018-01-23 03:54:59.102929,2018-01-23 03:54:59.102972,teaching
10,46,-1,1,4,jedi,2018-01-23 03:55:02.201317,2018-01-23 03:55:02.201357,teaching
11,180,-1,1,4,jedi,2018-01-23 03:55:06.128245,2018-01-23 03:55:06.128285,teaching
12,899,1,2,4,jedi,2018-01-23 03:55:10.608049,2018-01-23 03:55:10.608091,teaching
13,214,1,1,4,jedi,2018-01-23 03:55:16.003407,2018-01-23 03:55:16.003449,teaching
14,755,-1,2,4,jedi,2018-01-23 03:55:18.878467,2018-01-23 03:55:18.878509,teaching
15,846,-1,2,4,jedi,2018-01-23 03:55:21.520730,2018-01-23 03:55:21.520773,teaching
16,25,1,1,4,jedi,2018-01-23 03:55:24.533885,2018-01-23 03:55:24.533924,teaching
17,905,-1,2,4,jedi,2018-01-23 03:55:29.376481,2018-01-23 03:55:29.376521,teaching
18,124,1,1,4,jedi,2018-01-23 03:55:37.841680,2018-01-23 03:55:37.841722,teaching
19,46,-1,1,4,jedi,2018-01-23 03:55:41.616920,2018-01-23 03:55:41.616961,teaching
20,826,-1,2,4,jedi,2018-01-23 03:55:44.673996,2018-01-23 03:55:44.674037,teaching
21,233,1,1,4,jedi,2018-01-23 03:55:48.341590,2018-01-23 03:55:48.341654,teaching
22,916,-1,2,4,jedi,2018-01-23 03:55:51.568758,2018-01-23 03:55:51.568799,teaching
23,837,1,2,4,jedi,2018-01-23 03:55:56.297637,2018-01-23 03:55:56.297679,teaching
24,899,-1,2,4,jedi,2018-01-23 03:56:01.681050,2018-01-23 03:56:01.681091,teaching
25,25,1,1,4,jedi,2018-01-23 03:56:05.050038,2018-01-23 03:56:05.050079,teaching
26,905,-1,2,4,jedi,2018-01-23 03:56:08.601116,2018-01-23 03:56:08.601156,teaching
27,124,1,1,4,jedi,2018-01-23 03:56:14.843635,2018-01-23 03:56:14.843701,teaching
28,46,1,1,4,jedi,2018-01-23 03:56:18.317481,2018-01-23 03:56:18.317524,teaching
29,842,-1,2,4,jedi,2018-01-23 03:56:21.625955,2018-01-23 03:56:21.625995,teaching
30,908,1,2,4,jedi,2018-01-23 03:56:25.138069,2018-01-23 03:56:25.138109,teaching
31,916,-1,2,4,jedi,2018-01-23 03:56:28.186547,2018-01-23 03:56:28.186588,teaching
32,837,-1,2,4,jedi,2018-01-23 03:56:31.386076,2018-01-23 03:56:31.386118,teaching
33,899,-1,2,4,jedi,2018-01-23 03:56:34.164272,2018-01-23 03:56:34.164313,teaching
34,25,1,1,4,jedi,2018-01-23 03:56:37.483763,2018-01-23 03:56:37.483803,teaching
35,905,1,2,4,jedi,2018-01-23 03:56:41.088545,2018-01-23 03:56:41.088589,teaching
36,124,1,1,4,jedi,2018-01-23 03:56:45.511620,2018-01-23 03:56:45.511665,teaching
37,46,1,1,4,jedi,2018-01-23 03:56:49.145303,2018-01-23 03:56:49.145344,teaching
38,176,1,1,4,jedi,2018-01-23 03:56:53.139939,2018-01-23 03:56:53.140005,teaching
39,755,-1,2,4,jedi,2018-01-23 03:56:55.844793,2018-01-23 03:56:55.844835,teaching
40,916,-1,2,4,jedi,2018-01-23 03:56:59.704883,2018-01-23 03:56:59.704927,teaching
41,819,-1,2,6,jedi,2018-01-23 04:01:49.200930,2018-01-23 04:01:49.200971,teaching
42,770,-1,2,6,jedi,2018-01-23 04:01:58.815942,2018-01-23 04:01:58.815983,teaching
43,830,1,2,6,jedi,2018-01-23 04:02:07.065385,2018-01-23 04:02:07.065425,teaching
44,916,1,2,6,jedi,2018-01-23 04:02:18.295691,2018-01-23 04:02:18.295734,teaching
45,837,1,2,6,jedi,2018-01-23 04:02:31.712109,2018-01-23 04:02:31.712149,teaching
46,747,-1,2,6,jedi,2018-01-23 04:02:45.712726,2018-01-23 04:02:45.712772,teaching
47,213,-1,1,6,jedi,2018-01-23 04:03:01.346649,2018-01-23 04:03:01.346690,teaching
48,776,-1,2,6,jedi,2018-01-23 04:03:31.338567,2018-01-23 04:03:31.338608,teaching
49,793,-1,2,6,jedi,2018-01-23 04:03:47.299731,2018-01-23 04:03:47.299771,teaching
50,224,1,1,6,jedi,2018-01-23 04:03:54.245415,2018-01-23 04:03:54.245457,teaching
51,47,1,1,6,jedi,2018-01-23 04:04:07.867191,2018-01-23 04:04:07.867232,teaching
52,916,-1,2,6,jedi,2018-01-23 04:04:19.292109,2018-01-23 04:04:19.292158,teaching
53,747,-1,2,6,jedi,2018-01-23 04:04:26.914969,2018-01-23 04:04:26.915010,teaching
54,213,1,1,6,jedi,2018-01-23 04:05:10.564059,2018-01-23 04:05:10.564100,teaching
55,776,-1,2,6,jedi,2018-01-23 04:05:19.420871,2018-01-23 04:05:19.420912,teaching
56,79,1,1,6,jedi,2018-01-23 04:05:25.061771,2018-01-23 04:05:25.061812,teaching
57,905,1,2,6,jedi,2018-01-23 04:05:33.844576,2018-01-23 04:05:33.844618,teaching
58,916,-1,2,6,jedi,2018-01-23 04:05:43.156858,2018-01-23 04:05:43.156899,teaching
59,747,-1,2,6,jedi,2018-01-23 04:05:49.525340,2018-01-23 04:05:49.525400,teaching
60,213,1,1,6,jedi,2018-01-23 04:05:55.783751,2018-01-23 04:05:55.783794,teaching
61,776,-1,2,6,jedi,2018-01-23 04:06:00.853718,2018-01-23 04:06:00.853760,teaching
62,79,1,1,6,jedi,2018-01-23 04:06:06.894310,2018-01-23 04:06:06.894351,teaching
63,224,1,1,6,jedi,2018-01-23 04:06:16.910008,2018-01-23 04:06:16.910050,teaching
64,916,-1,2,6,jedi,2018-01-23 04:06:22.894180,2018-01-23 04:06:22.894222,teaching
65,747,-1,2,6,jedi,2018-01-23 04:06:31.721546,2018-01-23 04:06:31.721606,teaching
66,213,1,1,6,jedi,2018-01-23 04:06:38.374684,2018-01-23 04:06:38.374725,teaching
67,776,-1,2,6,jedi,2018-01-23 04:06:44.033963,2018-01-23 04:06:44.034004,teaching
68,79,1,1,6,jedi,2018-01-23 04:06:50.102524,2018-01-23 04:06:50.102571,teaching
69,224,1,1,6,jedi,2018-01-23 04:07:15.310880,2018-01-23 04:07:15.310921,teaching
70,916,-1,2,6,jedi,2018-01-23 04:07:26.375675,2018-01-23 04:07:26.375718,teaching
71,896,-1,2,6,jedi,2018-01-23 04:08:55.167950,2018-01-23 04:08:55.167991,test
72,839,-1,2,4,jedi,2018-01-23 04:09:03.206684,2018-01-23 04:09:03.206727,test
73,112,-1,1,6,jedi,2018-01-23 04:09:03.684339,2018-01-23 04:09:03.684386,test
74,212,1,1,6,jedi,2018-01-23 04:09:07.973644,2018-01-23 04:09:07.973709,test
75,58,1,1,4,jedi,2018-01-23 04:09:10.282209,2018-01-23 04:09:10.282249,test
76,50,1,1,4,jedi,2018-01-23 04:09:12.387180,2018-01-23 04:09:12.387222,test
77,184,1,1,4,jedi,2018-01-23 04:09:14.698860,2018-01-23 04:09:14.698901,test
78,64,1,1,4,jedi,2018-01-23 04:09:16.506958,2018-01-23 04:09:16.507000,test
79,138,1,1,6,jedi,2018-01-23 04:09:16.560270,2018-01-23 04:09:16.560311,test
80,83,1,1,4,jedi,2018-01-23 04:09:18.250361,2018-01-23 04:09:18.250403,test
81,194,-1,1,6,jedi,2018-01-23 04:09:20.081902,2018-01-23 04:09:20.081942,test
82,887,-1,2,4,jedi,2018-01-23 04:09:20.627039,2018-01-23 04:09:20.627099,test
83,235,1,1,4,jedi,2018-01-23 04:09:22.930713,2018-01-23 04:09:22.930754,test
84,756,1,2,4,jedi,2018-01-23 04:09:24.811730,2018-01-23 04:09:24.811771,test
85,186,1,1,4,jedi,2018-01-23 04:09:27.035378,2018-01-23 04:09:27.035418,test
86,30,1,1,4,jedi,2018-01-23 04:09:29.115337,2018-01-23 04:09:29.115379,test
87,805,-1,2,4,jedi,2018-01-23 04:09:30.699118,2018-01-23 04:09:30.699164,test
88,38,-1,1,4,jedi,2018-01-23 04:09:32.804673,2018-01-23 04:09:32.804715,test
89,924,-1,2,6,jedi,2018-01-23 04:09:36.490977,2018-01-23 04:09:36.491023,test
90,107,1,1,6,jedi,2018-01-23 04:09:43.346147,2018-01-23 04:09:43.346190,test
91,762,-1,2,6,jedi,2018-01-23 04:09:49.683055,2018-01-23 04:09:49.683132,test
92,902,-1,2,4,jedi,2018-01-23 04:09:56.783504,2018-01-23 04:09:56.783566,test
93,87,1,1,6,jedi,2018-01-23 04:09:57.530685,2018-01-23 04:09:57.530726,test
94,212,1,1,4,jedi,2018-01-23 04:09:59.835245,2018-01-23 04:09:59.835286,test
95,856,-1,2,6,jedi,2018-01-23 04:10:02.634823,2018-01-23 04:10:02.634865,test
96,748,-1,2,6,jedi,2018-01-23 04:10:06.800915,2018-01-23 04:10:06.800985,test
97,832,1,2,4,jedi,2018-01-23 04:10:07.004770,2018-01-23 04:10:07.004810,test
98,885,-1,2,4,jedi,2018-01-23 04:10:09.145810,2018-01-23 04:10:09.145869,test
99,192,1,1,6,jedi,2018-01-23 04:10:10.539804,2018-01-23 04:10:10.539845,test
100,174,1,1,4,jedi,2018-01-23 04:10:11.252601,2018-01-23 04:10:11.252645,test
101,106,1,1,4,jedi,2018-01-23 04:10:13.577571,2018-01-23 04:10:13.577611,test
102,932,-1,2,4,jedi,2018-01-23 04:10:15.820367,2018-01-23 04:10:15.820408,test
103,219,1,1,4,jedi,2018-01-23 04:10:18.313302,2018-01-23 04:10:18.313343,test
104,24,1,1,4,jedi,2018-01-23 04:10:20.355868,2018-01-23 04:10:20.355908,test
105,919,1,2,4,jedi,2018-01-23 04:10:22.420717,2018-01-23 04:10:22.420757,test
106,875,1,2,4,jedi,2018-01-23 04:10:24.557688,2018-01-23 04:10:24.557747,test
107,789,-1,2,4,jedi,2018-01-23 04:10:26.921613,2018-01-23 04:10:26.921654,test
108,191,-1,1,4,jedi,2018-01-23 04:10:32.237095,2018-01-23 04:10:32.237135,test
109,243,1,1,4,jedi,2018-01-23 04:10:46.405468,2018-01-23 04:10:46.405508,test
110,111,1,1,6,jedi,2018-01-23 04:10:48.724630,2018-01-23 04:10:48.724672,test
111,164,-1,1,4,jedi,2018-01-23 04:10:51.619200,2018-01-23 04:10:51.619240,test
112,7,1,1,4,jedi,2018-01-23 04:10:54.508512,2018-01-23 04:10:54.508554,test
113,163,1,1,4,jedi,2018-01-23 04:10:56.860317,2018-01-23 04:10:56.860357,test
114,184,-1,1,6,jedi,2018-01-23 04:11:00.629149,2018-01-23 04:11:00.629189,test
115,836,-1,2,6,jedi,2018-01-23 04:11:04.853963,2018-01-23 04:11:04.854012,test
116,885,-1,2,6,jedi,2018-01-23 04:11:10.126691,2018-01-23 04:11:10.126757,test
117,751,-1,2,6,jedi,2018-01-23 04:11:15.821103,2018-01-23 04:11:15.821143,test
118,902,-1,2,6,jedi,2018-01-23 04:11:23.644698,2018-01-23 04:11:23.644738,test
119,65,-1,1,6,jedi,2018-01-23 04:11:35.934763,2018-01-23 04:11:35.934806,test
120,75,1,1,6,jedi,2018-01-23 04:11:42.562507,2018-01-23 04:11:42.562548,test
121,210,1,1,6,jedi,2018-01-23 04:11:50.591601,2018-01-23 04:11:50.591644,test
122,849,-1,2,6,jedi,2018-01-23 04:11:55.598197,2018-01-23 04:11:55.598239,test
123,859,1,2,6,jedi,2018-01-23 04:12:01.390198,2018-01-23 04:12:01.390240,test
124,66,-1,1,6,jedi,2018-01-23 04:12:08.770581,2018-01-23 04:12:08.770624,test
125,239,1,1,6,jedi,2018-01-23 04:12:16.398357,2018-01-23 04:12:16.398398,test
126,22,1,1,6,jedi,2018-01-23 04:12:31.632740,2018-01-23 04:12:31.632782,test
127,32,1,1,6,jedi,2018-01-23 04:12:35.950910,2018-01-23 04:12:35.950952,test
128,26,1,1,6,jedi,2018-01-23 04:12:41.759400,2018-01-23 04:12:41.759441,test
129,51,1,1,6,jedi,2018-01-23 04:13:01.951695,2018-01-23 04:13:01.951735,test
